分類,系列,品名,代碼,尺碼,肩寬(cm),胸圍(cm),胸圍最小(cm),胸圍最大(cm),腰圍範圍(cm),臀圍(cm)
上衣,TAC,長袖戰術服,TL,XS,45,97,,,,
上衣,TAC,長袖戰術服,TL,S,46,102,,,,
上衣,TAC,長袖戰術服,TL,M,47,107,,,,
上衣,TAC,長袖戰術服,TL,L,48,112,,,,
上衣,TAC,長袖戰術服,TL,XL,50,117,,,,
上衣,TAC,長袖戰術服,TL,2XL,51,122,,,,
上衣,TAC,長袖戰術服,TL,3XL,52,127,,,,
上衣,TAC,短袖戰術服,TS,XS,45,97,,,,
上衣,TAC,短袖戰術服,TS,S,46,102,,,,
上衣,TAC,短袖戰術服,TS,M,47,107,,,,
上衣,TAC,短袖戰術服,TS,L,48,112,,,,
上衣,TAC,短袖戰術服,TS,XL,50,117,,,,
上衣,TAC,短袖戰術服,TS,2XL,51,122,,,,
上衣,TAC,短袖戰術服,TS,3XL,52,127,,,,
背心,TAC,戰術背心,TV,XS,38,98,,,,
背心,TAC,戰術背心,TV,S,39,103,,,,
背心,TAC,戰術背心,TV,M,41,108,,,,
背心,TAC,戰術背心,TV,L,42,113,,,,
背心,TAC,戰術背心,TV,XL,43,118,,,,
背心,TAC,戰術背心,TV,2XL,44,123,,,,
背心,TAC,戰術背心,TV,3XL,46,128,,,,
上衣,OPS,長袖操作服,OPL,XS,45,99,,,,
上衣,OPS,長袖操作服,OPL,S,46,104,,,,
上衣,OPS,長袖操作服,OPL,M,47,109,,,,
上衣,OPS,長袖操作服,OPL,L,48,114,,,,
上衣,OPS,長袖操作服,OPL,XL,50,119,,,,
上衣,OPS,長袖操作服,OPL,2XL,51,125,,,,
上衣,OPS,長袖操作服,OPL,3XL,52,130,,,,
上衣,OPS,短袖操作服,OPS,XS,45,99,,,,
上衣,OPS,短袖操作服,OPS,S,46,104,,,,
上衣,OPS,短袖操作服,OPS,M,47,109,,,,
上衣,OPS,短袖操作服,OPS,L,48,114,,,,
上衣,OPS,短袖操作服,OPS,XL,50,119,,,,
上衣,OPS,短袖操作服,OPS,2XL,51,125,,,,
上衣,OPS,短袖操作服,OPS,3XL,52,130,,,,
外套,EMS,救護外套,EJ,XS,46,114,,,,
外套,EMS,救護外套,EJ,S,48,119,,,,
外套,EMS,救護外套,EJ,M,49,124,,,,
外套,EMS,救護外套,EJ,L,50,130,,,,
外套,EMS,救護外套,EJ,XL,51,135,,,,
外套,EMS,救護外套,EJ,2XL,53,140,,,,
外套,EMS,救護外套,EJ,3XL,54,145,,,,
背心,EMS,救護背心,EV,S,38,,91,98,,
背心,EMS,救護背心,EV,M,39,,101,108,,
背心,EMS,救護背心,EV,L,40,,112,118,,
背心,EMS,救護背心,EV,XL,42,,122,128,,
褲子,共用,戰術褲,TP,XS,,,,,66~76,94
褲子,共用,戰術褲,TP,S,,,,,71~81,99
褲子,共用,戰術褲,TP,M,,,,,76~86,104
褲子,共用,戰術褲,TP,L,,,,,81~91,109
褲子,共用,戰術褲,TP,XL,,,,,86~97,114
褲子,共用,戰術褲,TP,2XL,,,,,91~102,119
褲子,共用,戰術褲,TP,3XL,,,,,97~107,124