機關名稱	大隊/分類	單位名稱	系統代碼
臺南市政府消防局	局本部	局長室	TN-101
臺南市政府消防局	局本部	副局長室	TN-102
臺南市政府消防局	局本部	主任秘書室	TN-103
臺南市政府消防局	局本部	本機關	TN-104
臺南市政府消防局	局本部	火災預防科	TN-105
臺南市政府消防局	局本部	災害搶救科	TN-106
臺南市政府消防局	局本部	緊急救護科	TN-107
臺南市政府消防局	局本部	火災調查科	TN-108
臺南市政府消防局	局本部	民力運用科	TN-109
臺南市政府消防局	局本部	災害管理科	TN-110
臺南市政府消防局	局本部	危險物品管理科	TN-111
臺南市政府消防局	局本部	督察室	TN-112
臺南市政府消防局	局本部	救災救護指揮中心	TN-113
臺南市政府消防局	局本部	秘書室	TN-114
臺南市政府消防局	局本部	政風室	TN-115
臺南市政府消防局	局本部	會計室	TN-116
臺南市政府消防局	局本部	人事室	TN-117
臺南市政府消防局	第一大隊	第一救災救護大隊	TN-118
臺南市政府消防局	第一大隊	白河中隊	TN-119
臺南市政府消防局	第一大隊	新營分隊	TN-120
臺南市政府消防局	第一大隊	新營專責救護	TN-121
臺南市政府消防局	第一大隊	柳營分隊	TN-122
臺南市政府消防局	第一大隊	鹽水分隊	TN-123
臺南市政府消防局	第一大隊	白河分隊	TN-124
臺南市政府消防局	第一大隊	關嶺分隊	TN-125
臺南市政府消防局	第一大隊	後壁分隊	TN-126
臺南市政府消防局	第一大隊	東山分隊	TN-127
臺南市政府消防局	第一大隊	東原分隊	TN-128
臺南市政府消防局	第二大隊	第二救災救護大隊	TN-129
臺南市政府消防局	第二大隊	玉井中隊	TN-130
臺南市政府消防局	第二大隊	麻豆分隊	TN-131
臺南市政府消防局	第二大隊	官田分隊	TN-132
臺南市政府消防局	第二大隊	六甲分隊	TN-133
臺南市政府消防局	第二大隊	下營分隊	TN-134
臺南市政府消防局	第二大隊	玉井分隊	TN-135
臺南市政府消防局	第二大隊	楠西分隊	TN-136
臺南市政府消防局	第二大隊	南化分隊	TN-137
臺南市政府消防局	第三大隊	第三救災救護大隊	TN-138
臺南市政府消防局	第三大隊	學甲中隊	TN-139
臺南市政府消防局	第三大隊	佳里分隊	TN-140
臺南市政府消防局	第三大隊	西港分隊	TN-141
臺南市政府消防局	第三大隊	七股分隊	TN-142
臺南市政府消防局	第三大隊	學甲分隊	TN-143
臺南市政府消防局	第三大隊	北門分隊	TN-144
臺南市政府消防局	第三大隊	將軍分隊	TN-145
臺南市政府消防局	第四大隊	第四救災救護大隊	TN-146
臺南市政府消防局	第四大隊	新化中隊	TN-147
臺南市政府消防局	第四大隊	善化分隊	TN-148
臺南市政府消防局	第四大隊	安定分隊	TN-149
臺南市政府消防局	第四大隊	新市分隊	TN-150
臺南市政府消防局	第四大隊	南科分隊	TN-151
臺南市政府消防局	第四大隊	新化分隊	TN-152
臺南市政府消防局	第四大隊	山上分隊	TN-153
臺南市政府消防局	第四大隊	左鎮分隊	TN-154
臺南市政府消防局	第四大隊	大內分隊	TN-155
臺南市政府消防局	第五大隊	第五救災救護大隊	TN-156
臺南市政府消防局	第五大隊	歸仁中隊	TN-157
臺南市政府消防局	第五大隊	永康分隊	TN-158
臺南市政府消防局	第五大隊	大橋專責救護	TN-159
臺南市政府消防局	第五大隊	鹽行分隊	TN-160
臺南市政府消防局	第五大隊	大灣分隊	TN-161
臺南市政府消防局	第五大隊	復興分隊	TN-162
臺南市政府消防局	第五大隊	歸仁分隊	TN-163
臺南市政府消防局	第五大隊	歸仁小專責	TN-164
臺南市政府消防局	第五大隊	仁德分隊	TN-165
臺南市政府消防局	第五大隊	文賢分隊	TN-166
臺南市政府消防局	第五大隊	關廟分隊	TN-167
臺南市政府消防局	第五大隊	保西分隊	TN-168
臺南市政府消防局	第六大隊	第六救災救護大隊	TN-169
臺南市政府消防局	第六大隊	安南中隊	TN-170
臺南市政府消防局	第六大隊	和緯分隊	TN-171
臺南市政府消防局	第六大隊	和緯專責救護	TN-172
臺南市政府消防局	第六大隊	永華分隊	TN-173
臺南市政府消防局	第六大隊	永華小專責	TN-174
臺南市政府消防局	第六大隊	安平分隊	TN-175
臺南市政府消防局	第六大隊	公園分隊	TN-176
臺南市政府消防局	第六大隊	安南分隊	TN-177
臺南市政府消防局	第六大隊	安南小專責	TN-178
臺南市政府消防局	第六大隊	安和分隊	TN-179
臺南市政府消防局	第六大隊	土城分隊	TN-180
臺南市政府消防局	第七大隊	第七救災救護大隊	TN-181
臺南市政府消防局	第七大隊	德興中隊	TN-182
臺南市政府消防局	第七大隊	南門分隊	TN-183
臺南市政府消防局	第七大隊	南門小專責	TN-184
臺南市政府消防局	第七大隊	崇善分隊	TN-185
臺南市政府消防局	第七大隊	後甲分隊	TN-186
臺南市政府消防局	第七大隊	東門分隊	TN-187
臺南市政府消防局	第七大隊	東門專責救護	TN-188
臺南市政府消防局	第七大隊	中正分隊	TN-189
臺南市政府消防局	第七大隊	德興分隊	TN-190
臺南市政府消防局	第七大隊	灣裡分隊	TN-191
臺南市政府消防局	特搜大隊	特搜大隊	TN-192
臺南市政府消防局	特搜大隊	大橋特搜分隊	TN-193